x,y
-6.10735,36.2902
-6.1075,36.2903
-6.105,36.3165
-6.16551,36.353
-6.18046,36.3704
-6.18158,36.3719
-6.18264,36.3725
-6.18888,36.3751
-6.15199,36.3864
-6.15197,36.3868
-6.15198,36.3873
-6.14302,36.4154
-6.14431,36.4187
-6.12469,36.4221
-6.14675,36.4303
-6.21351,36.4488
-6.21443,36.4559
-6.20836,36.4566
-6.20112,36.4566
-6.2018,36.4572
-6.19887,36.4577
-6.20474,36.4612
-6.2068,36.4616
-6.20388,36.4618
-6.20483,36.4619
-6.20364,36.462
-6.20359,36.4622
-6.20441,36.4622
-6.2048,36.4623
-6.20232,36.4626
-6.19905,36.4631
-6.19904,36.4634
-6.19869,36.4638
-6.19814,36.464
-6.19804,36.4641
-6.19796,36.4642
-6.19737,36.4648
-6.19731,36.4648
-6.19789,36.4652
-6.19679,36.4652
-6.19383,36.4653
-6.19778,36.4654
-6.19678,36.4655
-6.19694,36.4656
-6.19907,36.4656
-6.19917,36.4656
-6.19688,36.4657
-6.19758,36.4657
-6.19669,36.4659
-6.19667,36.466
-6.19601,36.4662
-6.1964,36.4663
-6.19696,36.4663
-6.1969,36.4664
-6.19662,36.4666
-6.1971,36.4671
-6.19689,36.4693
-6.198,36.4694
-6.19678,36.4695
-6.19494,36.4708
-6.19435,36.4733
-6.20175,36.4741
-6.19512,36.4744
-6.19489,36.4768
-6.1956,36.4797
-6.19644,36.4799
-6.27117,36.4995
-6.27485,36.5037
-6.27774,36.5052
-6.27891,36.507
-6.2767,36.507
-6.27599,36.5073
-6.27507,36.5073
-6.2758,36.5079
-6.27609,36.508
-6.27814,36.5081
-6.27535,36.5081
-6.27894,36.5095
-6.28108,36.5101
-6.28015,36.5112
-6.27999,36.5119
-6.28095,36.5158
-6.28571,36.5176
-6.28226,36.5188
-6.28319,36.5198
-6.28587,36.5215
-6.2857,36.5238
-6.16985,36.5241
-6.28859,36.5242
-6.1721,36.5255
-6.28676,36.5262
-6.19286,36.5263
-6.28651,36.5265
-6.28636,36.5265
-6.18961,36.5267
-6.19172,36.5274
-6.18286,36.5275
-6.18673,36.5281
-6.19163,36.5281
-6.30203,36.5282
-6.30491,36.5283
-6.29379,36.5287
-6.30237,36.5291
-6.29159,36.5293
-6.2001,36.5294
-6.29247,36.5295
-6.30363,36.5295
-6.30375,36.5298
-6.30359,36.5301
-6.30341,36.5301
-6.29283,36.5301
-6.29307,36.5303
-6.18977,36.5304
-6.29552,36.5304
-6.29137,36.5305
-6.29319,36.531
-6.29415,36.5317
-6.29507,36.5321
-6.29701,36.5322
-6.30154,36.5323
-6.29459,36.5326
-6.2965,36.5329
-6.30299,36.533
-6.30202,36.5333
-6.29742,36.5334
-6.29953,36.5335
-6.29514,36.5337
-6.29717,36.5338
-6.29597,36.534
-6.29626,36.5342
-6.29592,36.5343
-6.30172,36.5344
-6.29747,36.5349
-6.29789,36.535
-6.29487,36.535
-6.30076,36.5358
-6.29346,36.5366
-6.15472,36.5475
-6.22548,36.5784
-6.22392,36.5789
-6.22762,36.5938
-6.22684,36.5942
-6.23493,36.5957
-6.23386,36.5963
-6.22606,36.5966
-6.22529,36.5983
-6.2257,36.5984
-6.22707,36.5985
-6.22449,36.5987
-6.2365,36.5989
-6.28087,36.6116
-6.19826,36.6148
-6.35797,36.618
-6.36065,36.62
-6.36211,36.62
-6.36136,36.6211
-6.36247,36.6226
-6.36447,36.6242
-6.36883,36.6265
-6.38538,36.6312
-6.14389,36.6723
-6.14619,36.6756
-6.12877,36.6794
-6.12751,36.6803
-6.15078,36.6821
-6.13802,36.6824
-6.13878,36.6827
-6.1381,36.6829
-6.13831,36.6839
-6.1388,36.6841
-6.13474,36.6851
-6.13448,36.688
-6.13362,36.6888
-6.14415,36.6893
-6.13376,36.6962
-6.1345,36.6966
-6.13253,36.7003
-6.11701,36.7087
-6.21173,36.7157
-6.43459,36.7187
-6.43553,36.7224
-6.43779,36.731
-6.43766,36.7314
-6.43729,36.7326
-6.44109,36.7388
-6.43561,36.7388
-6.43594,36.7399
-6.43622,36.7404
-6.4045,36.7578
-6.35719,36.7764
-6.3576,36.7767
-6.3568,36.7772
-6.35423,36.7786
-6.35444,36.7795
-6.35186,36.7795
