=== Consultas (todos los s) ===
dataset   method        N      s  avg_io  avg_points  stddev_points
 random nearestx 16777216 0.0025  209.72      107.01        10.4542
 random      str 16777216 0.0025    6.07      107.01        10.4542
 europa nearestx 16777216 0.0025  118.83       26.71       109.8270
 europa      str 16777216 0.0025    4.64       26.71       109.8270
 random nearestx 16777216 0.0050  416.78      418.98        18.1829
 random      str 16777216 0.0050    9.27      418.98        18.1829
 europa nearestx 16777216 0.0050  188.78      558.23      2398.7100
 europa      str 16777216 0.0050    8.92      558.23      2398.7100
 random nearestx 16777216 0.0100  829.63     1679.71        49.2340
 random      str 16777216 0.0100   18.41     1679.71        49.2340
 europa nearestx 16777216 0.0100  342.24      769.92      2441.8800
 europa      str 16777216 0.0100   10.20      769.92      2441.8800
 random nearestx 16777216 0.0250 2069.60    10481.80       104.5730
 random      str 16777216 0.0250   71.00    10481.80       104.5730
 europa nearestx 16777216 0.0250 1496.65    13827.00     39403.9000
 europa      str 16777216 0.0250   84.27    13827.00     39403.9000
 random nearestx 16777216 0.0500 4136.10    41955.80       227.2020
 random      str 16777216 0.0500  242.33    41955.80       227.2020
 europa nearestx 16777216 0.0500 2673.91    45335.60    113772.0000
 europa      str 16777216 0.0500  248.26    45335.60    113772.0000
